epoch,Training Loss,Validation Loss
1,0.9957773,0.99752957
2,0.99428487,0.9974859
3,0.99391156,0.9973495
4,0.99387276,0.9972864
5,0.9930961,0.9969911
6,0.9930395,0.99657893
7,0.99256796,0.9955064
8,0.9927238,0.99521863
9,0.9921217,0.9941763
10,0.99212795,0.99229735
11,0.99127877,0.9913085
12,0.9909579,0.99102557
13,0.99119776,0.98949224
14,0.990395,0.9899669
15,0.9899881,0.9897274
16,0.9890553,0.9911097
17,0.9889874,0.98990107
18,0.9884844,0.98939824
19,0.98742825,0.9887455
20,0.98659575,0.9878274
21,0.98579246,0.9858621
22,0.9837139,0.9861787
23,0.9834873,0.9844829
24,0.9810268,0.98534167
25,0.9800656,0.9844247
26,0.9794105,0.97757894
27,0.9763667,0.9803708
28,0.97426504,0.9835761
29,0.9702263,0.9795149
30,0.9657196,0.97358936
31,0.96341956,0.97251606
32,0.9581844,0.96271235
33,0.95123154,0.9580059
34,0.94358534,0.9445913
35,0.93352085,0.94320065
36,0.92716694,0.93006945
37,0.91430837,0.91899925
38,0.8978109,0.8906478
39,0.8759953,0.8986256
40,0.8603506,0.9348189
41,0.8326263,0.8857969
42,0.7949189,0.8223313
43,0.76260334,0.7582873
44,0.71875,0.7562359
45,0.6923231,0.7994243
46,0.66936404,0.7294083
47,0.63851136,0.662096
48,0.58570826,0.64842325
49,0.53108853,0.59289885
50,0.49431035,0.6123927
51,0.469102,0.58840096
52,0.39470443,0.46572185
53,0.41544804,0.5060728
54,0.3680737,0.49379653
55,0.3699685,0.39202452
56,0.33817297,0.4490701
57,0.31626508,0.503086
58,0.31483692,0.4954425
59,0.32983363,0.44502467
60,0.28762355,0.3944143
61,0.27703217,0.34710902
62,0.3015551,0.3647707
63,0.28020823,0.36558837
64,0.28632322,0.28148293
65,0.25701225,0.2753926
66,0.2606083,0.29666036
67,0.24454272,0.32077295
68,0.25649434,0.3200972
69,0.24718097,0.3193214
70,0.24346282,0.30348098
71,0.26951596,0.31283695
72,0.26976618,0.33232385
73,0.2839412,0.3143946
74,0.23217894,0.33352202
75,0.24951571,0.3358147
76,0.26443377,0.32771993
77,0.23950574,0.32378256
78,0.2713796,0.32465243
79,0.24672948,0.31998378
80,0.24549513,0.34384042
81,0.24946839,0.35211492
82,0.24265993,0.3174767
83,0.22859628,0.32176447
84,0.22867508,0.32893085
85,0.22456077,0.35322285
86,0.24297406,0.36691535
87,0.23230933,0.34606862
88,0.24318118,0.3149081
89,0.2219531,0.30725324
90,0.21787053,0.29423112
91,0.22390397,0.31505305
92,0.21287096,0.2966116
93,0.20023242,0.31387383
94,0.20934412,0.32511926
95,0.20008457,0.35599953
96,0.23615633,0.36814916
97,0.24184659,0.37110877
98,0.223236,0.35995197
99,0.21791874,0.325558
100,0.21275133,0.3141936
101,0.19901946,0.32735628
102,0.23088272,0.30068052
103,0.2347792,0.28518713
104,0.20316602,0.2760123
105,0.21186,0.28656834
106,0.20254144,0.31287026
107,0.1941521,0.33907503
108,0.20752797,0.33586025
109,0.19332588,0.31872213
110,0.20408036,0.2855425
111,0.21509205,0.28993952
112,0.20842753,0.2795617
113,0.19730994,0.2775063
114,0.18949178,0.3094774
115,0.20151219,0.26770252
116,0.19847912,0.2602151
117,0.18892242,0.2574699
118,0.19239864,0.22442764
119,0.19544293,0.23927683
120,0.18211022,0.24583775
121,0.22295427,0.29534256
122,0.19365248,0.2540316
123,0.20093521,0.34894073
124,0.22386283,0.38950694
125,0.22332908,0.35273612
126,0.20386901,0.31279922
127,0.20062496,0.31185114
128,0.19403832,0.3053354
129,0.18145828,0.3046655
130,0.1937242,0.29259586
131,0.17722145,0.27966595
132,0.1843388,0.2644459
133,0.18163812,0.27473515
134,0.18482147,0.28291112
135,0.17461108,0.27503616
136,0.1808141,0.2494244
137,0.16954038,0.22906417
138,0.17464393,0.25009626
139,0.17506653,0.22219169
140,0.17225505,0.20645934
141,0.16720529,0.20124727
142,0.17289022,0.22887474
143,0.17508943,0.24820048
144,0.16965188,0.21036696
145,0.16870211,0.22390568
146,0.17256863,0.21517497
147,0.17858177,0.21803153
148,0.17187747,0.26376843
149,0.17504215,0.28322715
150,0.17563035,0.24132782
151,0.17879461,0.22676718
152,0.18455085,0.24888504
153,0.17529036,0.2616489
154,0.18505272,0.288603
155,0.17434944,0.30610853
156,0.19213445,0.2679628
157,0.20070395,0.23516023
158,0.1943267,0.22305888
159,0.18542057,0.24956632
160,0.17565164,0.26464194
161,0.19098602,0.28476375
162,0.17357063,0.25232136
163,0.17357866,0.23332018
164,0.19059673,0.25338233
165,0.16356832,0.28688514
166,0.16714631,0.31916088
167,0.1814652,0.3112659
168,0.17443821,0.27784032
169,0.18220326,0.2588864
170,0.16732594,0.24143416
171,0.17009036,0.29669636
172,0.18817472,0.30269742
173,0.17609635,0.28826594
174,0.17345914,0.26906496
175,0.17604816,0.27315533
176,0.1875625,0.27390897
177,0.17904772,0.23671144
178,0.17833665,0.23203647
179,0.18080223,0.23793536
180,0.17688197,0.24146324
181,0.1699839,0.21970433
182,0.16163579,0.19487852
183,0.172746,0.22037023
184,0.17143868,0.2937861
185,0.17509978,0.30231184
186,0.1682324,0.26968658
187,0.18286727,0.23165303
188,0.16275723,0.18605065
189,0.17497225,0.19706976
190,0.1663756,0.22310227
191,0.16312146,0.19480687
192,0.15324959,0.18628049
193,0.16859603,0.22335225
194,0.16302708,0.25082195
195,0.15989861,0.24026918
196,0.16274877,0.20910633
197,0.1669307,0.20796812
198,0.1704681,0.26336813
199,0.16536692,0.25709343
200,0.16475508,0.21159601
